Ticker,Dates,Market Cap
DOCU US Equity,1/21/21,47374.2638
DOCU US Equity,1/20/21,47629.8467
DOCU US Equity,1/19/21,47864.9085
DOCU US Equity,1/15/21,46504.9085
DOCU US Equity,1/14/21,46685.8687
DOCU US Equity,1/13/21,47730.5875
DOCU US Equity,1/12/21,48999.1745
DOCU US Equity,1/11/21,44952.755
DOCU US Equity,1/8/21,45620.6287
DOCU US Equity,1/7/21,44592.7001
DOCU US Equity,1/6/21,41760.7661
DOCU US Equity,1/5/21,42628.2558
DOCU US Equity,1/4/21,41492.1241
PTON US Equity,5/7/21,24999.9592
PTON US Equity,5/6/21,24954.9
PTON US Equity,5/5/21,24331.7276
PTON US Equity,5/4/21,28478.311
PTON US Equity,5/3/21,28225.0396
PTON US Equity,4/30/21,28964.2388
PTON US Equity,4/29/21,29126.2147
PTON US Equity,4/28/21,30398.4619
PTON US Equity,4/27/21,30139.3004
PTON US Equity,4/26/21,30413.1869
PTON US Equity,4/23/21,29765.2833
PTON US Equity,4/22/21,29888.974
PTON US Equity,4/21/21,29429.5514
PTON US Equity,4/20/21,31364.4273
PTON US Equity,4/19/21,31732.5544
PTON US Equity,4/16/21,34224.0385
PTON US Equity,4/15/21,35310.7496
PTON US Equity,4/14/21,34692.2961
PTON US Equity,4/13/21,36035.2237
PTON US Equity,4/12/21,35036.8631
PTON US Equity,4/9/21,34927.8975
PTON US Equity,4/8/21,36406.2958
PTON US Equity,4/7/21,33926.5918
PTON US Equity,4/6/21,33979.6021
PTON US Equity,4/5/21,32127.1866
PTON US Equity,4/1/21,33010.6916
PTON US Equity,3/31/21,33113.7672
PTON US Equity,3/30/21,31561.7434
PTON US Equity,3/29/21,30928.5649
PTON US Equity,3/26/21,31340.8672
PTON US Equity,3/25/21,30401.4069
PTON US Equity,3/24/21,29977.3245
PTON US Equity,3/23/21,33381.7637
PTON US Equity,3/22/21,32259.7124
PTON US Equity,3/19/21,31897.4753
PTON US Equity,3/18/21,30257.1011
PTON US Equity,3/17/21,31744.3345
PTON US Equity,3/16/21,31794.3998
PTON US Equity,3/15/21,33202.1177
PTON US Equity,3/12/21,32851.6607
PTON US Equity,3/11/21,34648.1209
PTON US Equity,3/10/21,32783.9253
PTON US Equity,3/9/21,34168.0832
PTON US Equity,3/8/21,29847.7437
PTON US Equity,3/5/21,30960.96
PTON US Equity,3/4/21,30849.0494
PTON US Equity,3/3/21,31829.74
PTON US Equity,3/2/21,34742.3614
PTON US Equity,3/1/21,36462.2511
PTON US Equity,2/26/21,35478.6156
PTON US Equity,2/25/21,33929.5368
PTON US Equity,2/24/21,36141.2443
PTON US Equity,2/23/21,37369.3163
PTON US Equity,2/22/21,37033.5844
PTON US Equity,2/19/21,41144.8276
PTON US Equity,2/18/21,40773.7555
PTON US Equity,2/17/21,41003.4668
PTON US Equity,2/16/21,42961.9029
PTON US Equity,2/12/21,45550.5725
PTON US Equity,2/11/21,43138.6039
PTON US Equity,2/10/21,42714.5215
PTON US Equity,2/9/21,43515.566
PTON US Equity,2/8/21,42699.7964
PTON US Equity,2/5/21,43674.5969
PTON US Equity,2/4/21,46082.6329
PTON US Equity,2/3/21,43051.997
PTON US Equity,2/2/21,43215.8151
PTON US Equity,2/1/21,42940.8347
PTON US Equity,1/29/21,42747.7633
PTON US Equity,1/28/21,42660.0035
PTON US Equity,1/27/21,42405.5003
PTON US Equity,1/26/21,43233.3671
PTON US Equity,1/25/21,45968.5453
PTON US Equity,1/22/21,46732.0549
PTON US Equity,1/21/21,46258.1524
PTON US Equity,1/20/21,45573.6265
PTON US Equity,1/19/21,43920.8183
PTON US Equity,1/15/21,46164.542
PTON US Equity,1/14/21,48340.9832
PTON US Equity,1/13/21,48975.7786
PTON US Equity,1/12/21,45646.7596
PTON US Equity,1/11/21,44564.3896
PTON US Equity,1/8/21,46477.5517
PTON US Equity,1/7/21,45049.9934
PTON US Equity,1/6/21,42054.4614
PTON US Equity,1/5/21,43449.8411
PTON US Equity,1/4/21,42698.0328
