ticker,c_name,last_sale,market_cap,ipo_year,sector,industry
INUV,Inuvo Inc.,$0.7173,85011673.0,,Technology,Advertising
INVE,Identiv Inc. Common Stock,$15.63,335127378.0,,Technology,Computer peripheral equipment
IPDN,Professional Diversity Network Inc. Common Stock,$1.60,21544035.0,2013.0,Technology,EDP Services
IPG,Interpublic Group of Companies Inc. (The) Common Stock,$33.47,13166282939.0,,Technology,Advertising
IPGP,IPG Photonics Corporation Common Stock,$197.30,10582873288.0,2006.0,Technology,Semiconductors
ISDR,Issuer Direct Corporation Common Stock,$27.81,104731765.0,,Technology,EDP Services
ISIG,Insignia Systems Inc. Common Stock,$5.37,9419141.0,1991.0,Technology,Advertising
ISUN,iSun Inc. Common Stock,$9.56,86830220.0,2016.0,Technology,Semiconductors
IZEA,IZEA Worldwide Inc. Common Stock,$3.55,209909335.0,,Technology,Advertising
JAMF,Jamf Holding Corp. Common Stock,$32.99,3882607451.0,2020.0,Technology,Computer Software: Prepackaged Software
JBL,Jabil Inc. Common Stock,$54.83,8158592311.0,1993.0,Technology,Electrical Products
JCOM,j2 Global Inc. Common Stock,$122.10,5512749188.0,1999.0,Technology,Telecommunications Equipment
JKHY,Jack Henry & Associates Inc. Common Stock,$156.13,11877944009.0,1985.0,Technology,Retail: Computer Software & Peripheral Equipment
JNPR,Juniper Networks Inc. Common Stock,$27.20,8914531264.0,1999.0,Technology,Computer peripheral equipment
JOB,GEE Group Inc. Common Stock,$0.5424,54782647.0,,Technology,Diversified Commercial Services
KAI,Kadant Inc Common Stock,$185.56,2148372857.0,,Technology,Industrial Machinery/Components
KBNT,Kubient Inc. Common Stock,$5.66,78524067.0,2020.0,Technology,EDP Services
KBNTW,Kubient Inc. Warrant,$2.25,0.0,2020.0,Technology,EDP Services
KELYA,Kelly Services Inc. Class A Common Stock,$26.51,1041514303.0,,Technology,Diversified Commercial Services
KELYB,Kelly Services Inc. Class B Common Stock,$26.27,1032085278.0,,Technology,Diversified Commercial Services
