Date,AAPL High,AAPL Low,AAPL Open,AAPL Close,AAPL Volume,AAPL Adj. Close,MSFT High,MSFT Low,MSFT Open,MSFT Close,MSFT Volume,MSFT Adj. Close,AMZN High,AMZN Low,AMZN Open,AMZN Close,AMZN Volume,AMZN Adj. Close,GOOG High,GOOG Low,GOOG Open,GOOG Close,GOOG Volume,GOOG Adj. Close,FB High,FB Low,FB Open,FB Close,FB Volume,FB Adj. Close,AAPL 2019-2021 Return,MSFT 2019-2021 Return,AMZN 2019-2021 Return,GOOGL 2019-2021 Return,FB 2019-2021 Return
9/17/2019,55.20500183,54.77999878,54.99000168,55.17499924,73274800,54.45746994,137.5200043,136.4299927,136.9600067,137.3899994,17814200,135.1774292,1823.98999,1804.099976,1807.079956,1822.550049,1982400,1822.550049,1235,1223.689941,1230.400024,1229.150024,955100,1229.150024,188.3200073,185.5399933,186.6600037,188.0800018,9671100,188.0800018,,,,,
9/18/2019,55.71250153,54.86000061,55.26499939,55.69250107,101360000,54.96823502,138.6699982,136.5299988,137.3600006,138.5200043,23982100,136.2892303,1822.060059,1795.5,1817.040039,1817.459961,2505600,1817.459961,1235.609985,1216.530029,1227.51001,1232.410034,1135100,1232.410034,189.0800018,186.0099945,188.0899963,188.1399994,9681900,188.1399994,,,,,
9/19/2019,55.93999863,55.09249878,55.50249863,55.24000168,88242400,54.52162552,142.3699951,140.0700073,140.3000031,141.0700073,35772100,138.798172,1832.569946,1817.900024,1821.02002,1821.5,2031500,1821.5,1244.439941,1232.02002,1232.060059,1238.709961,996000,1238.709961,191.1000061,188.1499939,188.6600037,190.1399994,10392700,190.1399994,,,,,
9/20/2019,55.63999939,54.36750031,55.34500122,54.43249893,221652400,53.72462463,141.6499939,138.25,141.0099945,139.4400024,39167300,137.1944122,1830.630005,1780.920044,1821.709961,1794.160034,5341900,1794.160034,1243.319946,1223.079956,1233.119995,1229.930054,2270000,1229.930054,193.1000061,188.1199951,190.6600037,189.9299927,19934200,189.9299927,,,,,
9/23/2019,54.95999908,54.41249847,54.73749924,54.68000031,76662000,53.9689064,139.6300049,138.4400024,139.2299957,139.1399994,17139300,136.8992462,1792.699951,1767.319946,1777,1785.300049,2922300,1785.300049,1239.089966,1224.170044,1226,1234.030029,1062400,1234.030029,190.1000061,185.2100067,189.3399963,186.8200073,13327600,186.8200073,,,,,
9/24/2019,55.62250137,54.29750061,55.25749969,54.41999817,124763200,53.71228409,140.6900024,136.8800049,140.3600006,137.3800049,29773200,135.1676025,1795.709961,1735.550049,1790.609985,1741.609985,4616000,1741.609985,1246.73999,1210.680054,1240,1218.76001,1583200,1218.76001,188.0399933,180.3899994,187.9799957,181.2799988,18546600,181.2799988,,,,,
9/25/2019,55.375,54.28499985,54.63750076,55.25749969,87613600,54.53889847,139.9600067,136.0299988,137.5,139.3600006,21382000,137.1157074,1773,1723,1747.359985,1768.329956,3493200,1768.329956,1248.300049,1210.089966,1215.819946,1246.52002,1453000,1246.52002,183.4199982,177.8699951,181.4499969,182.8000031,18068300,182.8000031,,,,,
9/26/2019,55.23500061,54.70750046,55,54.97249985,75334000,54.25760269,140.1799927,138.4400024,139.4400024,139.5399933,17456600,137.2927856,1763.369995,1731.5,1762.790039,1739.839966,3536800,1739.839966,1245,1232.267944,1241.959961,1241.390015,1538000,1241.390015,181.3999939,177.6699982,181.3300018,180.1100006,16083300,180.1100006,,,,,
9/27/2019,55.24000168,54.31999969,55.13499832,54.70500183,101408000,53.99358749,140.3600006,136.6499939,140.1499939,137.7299957,22477700,135.5119324,1749.119995,1713.819946,1748,1725.449951,3907200,1725.449951,1244.02002,1214.449951,1243.01001,1225.089966,1353900,1225.089966,180.7599945,175.6600037,180.4900055,177.1000061,14656200,177.1000061,,,,,
9/30/2019,56.14500046,55.19749832,55.22499847,55.99250031,103909600,55.26433945,139.2200012,137.7799988,138.0500031,139.0299988,17280900,136.7910004,1737.459961,1709.219971,1726.98999,1735.910034,2644700,1735.910034,1226,1212.300049,1220.969971,1219,1404100,1219,178.6699982,176.8500061,177.8699951,178.0800018,10740000,178.0800018,,,,,
